timestamp,%cpu,%mem,elapsed
2025-06-21 17:47:11,18.1,0.0,00:14
2025-06-21 17:47:12,16.9,0.0,00:15
2025-06-21 17:47:13,15.8,0.0,00:16
2025-06-21 17:47:14,14.9,0.0,00:17
2025-06-21 17:47:15,14.1,0.0,00:18
2025-06-21 17:47:16,13.4,0.0,00:19
2025-06-21 17:47:17,12.7,0.0,00:20
2025-06-21 17:47:19,12.1,0.0,00:21
2025-06-21 17:47:20,11.6,0.0,00:22
2025-06-21 17:47:21,11.1,0.0,00:23
2025-06-21 17:47:22,10.6,0.0,00:24
2025-06-21 17:47:23,10.2,0.0,00:26
2025-06-21 17:47:24,9.8,0.0,00:27
2025-06-21 17:47:25,9.4,0.0,00:28
2025-06-21 17:47:26,9.1,0.0,00:29
2025-06-21 17:47:27,8.8,0.0,00:30
2025-06-21 17:47:28,8.5,0.0,00:31
2025-06-21 17:47:29,8.2,0.0,00:32
2025-06-21 17:47:30,8.0,0.0,00:33
2025-06-21 17:47:31,7.7,0.0,00:34
